"date","Item","Element","Value"
2010-01-05,"COCOA - ICE","Smart money net position (% of OI)",-45.7
2010-01-05,"COFFEE C - ICE","Smart money net position (% of OI)",-54.8
2010-01-05,"COPPER-GRADE #1 - CE","Smart money net position (% of OI)",-47.3
2010-01-05,"CORN - CBoT","Smart money net position (% of OI)",-43.4
2010-01-05,"COTTON NO. 2 - ICE","Smart money net position (% of OI)",-63.9
2010-01-05,"CRUDE OIL, LIGHT SWEET - NYME","Smart money net position (% of OI)",-20.5
2010-01-05,"FEEDER CATTLE - CME","Smart money net position (% of OI)",0
2010-01-05,"FRZN CONCENTRATED ORANGE JUICE - ICE","Smart money net position (% of OI)",-71.8
2010-01-05,"GOLD - CE","Smart money net position (% of OI)",-36.8
2010-01-05,"LEAN HOGS - CME","Smart money net position (% of OI)",-45.2
2010-01-05,"LIVE CATTLE - CME","Smart money net position (% of OI)",-38.9
2010-01-05,"MILK, Class III - CME","Smart money net position (% of OI)",11.2
2010-01-05,"NATURAL GAS - NYME","Smart money net position (% of OI)",-3.2
2010-01-05,"PALLADIUM - NYME","Smart money net position (% of OI)",-67.1
2010-01-05,"PLATINUM - NYME","Smart money net position (% of OI)",-52.1
2010-01-05,"RANDOM LENGTH LUMBER - CME","Smart money net position (% of OI)",-50.7
2010-01-05,"ROUGH RICE - CBoT","Smart money net position (% of OI)",-68
2010-01-05,"SILVER - CE","Smart money net position (% of OI)",-46.2
2010-01-05,"SOYBEAN MEAL - CBoT","Smart money net position (% of OI)",-27.4
2010-01-05,"SOYBEAN OIL - CBoT","Smart money net position (% of OI)",-44.7
2010-01-05,"SOYBEANS - CBoT","Smart money net position (% of OI)",-39.2
2010-01-05,"SUGAR NO. 11 - ICE","Smart money net position (% of OI)",-25.1
2010-01-05,"COCOA - ICE","Speculators net position (% of OI)",45.8
2010-01-05,"COFFEE C - ICE","Speculators net position (% of OI)",54.7
2010-01-05,"COPPER-GRADE #1 - CE","Speculators net position (% of OI)",47.3
2010-01-05,"CORN - CBoT","Speculators net position (% of OI)",43.6
2010-01-05,"COTTON NO. 2 - ICE","Speculators net position (% of OI)",64
2010-01-05,"CRUDE OIL, LIGHT SWEET - NYME","Speculators net position (% of OI)",20.5
2010-01-05,"FEEDER CATTLE - CME","Speculators net position (% of OI)",-4.21884749357559e-15
2010-01-05,"FRZN CONCENTRATED ORANGE JUICE - ICE","Speculators net position (% of OI)",71.8
2010-01-05,"GOLD - CE","Speculators net position (% of OI)",36.8
2010-01-05,"LEAN HOGS - CME","Speculators net position (% of OI)",45.2
2010-01-05,"LIVE CATTLE - CME","Speculators net position (% of OI)",38.8
2010-01-05,"MILK, Class III - CME","Speculators net position (% of OI)",-11.1
2010-01-05,"NATURAL GAS - NYME","Speculators net position (% of OI)",3.1
2010-01-05,"PALLADIUM - NYME","Speculators net position (% of OI)",67.1
2010-01-05,"PLATINUM - NYME","Speculators net position (% of OI)",52.1
2010-01-05,"RANDOM LENGTH LUMBER - CME","Speculators net position (% of OI)",50.8
2010-01-05,"ROUGH RICE - CBoT","Speculators net position (% of OI)",68
2010-01-05,"SILVER - CE","Speculators net position (% of OI)",46.3
2010-01-05,"SOYBEAN MEAL - CBoT","Speculators net position (% of OI)",27.2
2010-01-05,"SOYBEAN OIL - CBoT","Speculators net position (% of OI)",44.6
2010-01-05,"SOYBEANS - CBoT","Speculators net position (% of OI)",39.3
2010-01-05,"SUGAR NO. 11 - ICE","Speculators net position (% of OI)",25.2
2010-01-12,"COCOA - ICE","Smart money net position (% of OI)",-43.7
2010-01-12,"COFFEE C - ICE","Smart money net position (% of OI)",-55.5
2010-01-12,"COPPER-GRADE #1 - CE","Smart money net position (% of OI)",-47.2
2010-01-12,"CORN - CBoT","Smart money net position (% of OI)",-42.3
2010-01-12,"COTTON NO. 2 - ICE","Smart money net position (% of OI)",-60.7
2010-01-12,"CRUDE OIL, LIGHT SWEET - NYME","Smart money net position (% of OI)",-19.3
2010-01-12,"FEEDER CATTLE - CME","Smart money net position (% of OI)",-4.4
2010-01-12,"FRZN CONCENTRATED ORANGE JUICE - ICE","Smart money net position (% of OI)",-60.8
2010-01-12,"GOLD - CE","Smart money net position (% of OI)",-37.5
2010-01-12,"LEAN HOGS - CME","Smart money net position (% of OI)",-45.6
2010-01-12,"LIVE CATTLE - CME","Smart money net position (% of OI)",-37.8
2010-01-12,"MILK, Class III - CME","Smart money net position (% of OI)",15.6
2010-01-12,"NATURAL GAS - NYME","Smart money net position (% of OI)",-3.7
2010-01-12,"PALLADIUM - NYME","Smart money net position (% of OI)",-63.4
2010-01-12,"PLATINUM - NYME","Smart money net position (% of OI)",-49
2010-01-12,"RANDOM LENGTH LUMBER - CME","Smart money net position (% of OI)",-49.8
2010-01-12,"ROUGH RICE - CBoT","Smart money net position (% of OI)",-64.7
2010-01-12,"SILVER - CE","Smart money net position (% of OI)",-47.1
2010-01-12,"SOYBEAN MEAL - CBoT","Smart money net position (% of OI)",-22.4
2010-01-12,"SOYBEAN OIL - CBoT","Smart money net position (% of OI)",-43.6
2010-01-12,"SOYBEANS - CBoT","Smart money net position (% of OI)",-33.3
2010-01-12,"SUGAR NO. 11 - ICE","Smart money net position (% of OI)",-21.9
2010-01-12,"COCOA - ICE","Speculators net position (% of OI)",43.7
2010-01-12,"COFFEE C - ICE","Speculators net position (% of OI)",55.4
2010-01-12,"COPPER-GRADE #1 - CE","Speculators net position (% of OI)",47.4
2010-01-12,"CORN - CBoT","Speculators net position (% of OI)",42.2
2010-01-12,"COTTON NO. 2 - ICE","Speculators net position (% of OI)",60.8
2010-01-12,"CRUDE OIL, LIGHT SWEET - NYME","Speculators net position (% of OI)",19.4
2010-01-12,"FEEDER CATTLE - CME","Speculators net position (% of OI)",4.4
2010-01-12,"FRZN CONCENTRATED ORANGE JUICE - ICE","Speculators net position (% of OI)",60.7
2010-01-12,"GOLD - CE","Speculators net position (% of OI)",37.4
2010-01-12,"LEAN HOGS - CME","Speculators net position (% of OI)",45.6
2010-01-12,"LIVE CATTLE - CME","Speculators net position (% of OI)",37.7
2010-01-12,"MILK, Class III - CME","Speculators net position (% of OI)",-15.5
2010-01-12,"NATURAL GAS - NYME","Speculators net position (% of OI)",3.8
2010-01-12,"PALLADIUM - NYME","Speculators net position (% of OI)",63.3
2010-01-12,"PLATINUM - NYME","Speculators net position (% of OI)",49
2010-01-12,"RANDOM LENGTH LUMBER - CME","Speculators net position (% of OI)",49.8
2010-01-12,"ROUGH RICE - CBoT","Speculators net position (% of OI)",64.6
2010-01-12,"SILVER - CE","Speculators net position (% of OI)",47.1
2010-01-12,"SOYBEAN MEAL - CBoT","Speculators net position (% of OI)",22.5
2010-01-12,"SOYBEAN OIL - CBoT","Speculators net position (% of OI)",43.5
2010-01-12,"SOYBEANS - CBoT","Speculators net position (% of OI)",33.2
2010-01-12,"SUGAR NO. 11 - ICE","Speculators net position (% of OI)",21.9
2010-01-19,"COCOA - ICE","Smart money net position (% of OI)",-45.1
2010-01-19,"COFFEE C - ICE","Smart money net position (% of OI)",-55.1
2010-01-19,"COPPER-GRADE #1 - CE","Smart money net position (% of OI)",-47.9
2010-01-19,"CORN - CBoT","Smart money net position (% of OI)",-36.8
2010-01-19,"COTTON NO. 2 - ICE","Smart money net position (% of OI)",-59.7
2010-01-19,"CRUDE OIL, LIGHT SWEET - NYME","Smart money net position (% of OI)",-19.3
2010-01-19,"FEEDER CATTLE - CME","Smart money net position (% of OI)",-8.2
2010-01-19,"FRZN CONCENTRATED ORANGE JUICE - ICE","Smart money net position (% of OI)",-58.4
2010-01-19,"GOLD - CE","Smart money net position (% of OI)",-36.2
2010-01-19,"LEAN HOGS - CME","Smart money net position (% of OI)",-46.8
2010-01-19,"LIVE CATTLE - CME","Smart money net position (% of OI)",-43.8
2010-01-19,"MILK, Class III - CME","Smart money net position (% of OI)",13.5
2010-01-19,"NATURAL GAS - NYME","Smart money net position (% of OI)",-3.6
2010-01-19,"PALLADIUM - NYME","Smart money net position (% of OI)",-60.1
2010-01-19,"PLATINUM - NYME","Smart money net position (% of OI)",-48.4
2010-01-19,"RANDOM LENGTH LUMBER - CME","Smart money net position (% of OI)",-53.4
2010-01-19,"ROUGH RICE - CBoT","Smart money net position (% of OI)",-58
2010-01-19,"SILVER - CE","Smart money net position (% of OI)",-45.9
2010-01-19,"SOYBEAN MEAL - CBoT","Smart money net position (% of OI)",-23.5
