"date","Item","Element","Value"
2010-07-20,"10-YEAR U.S. TREASURY NOTES - CBoT","Smart money net position (% of OI)",-10.8
2010-07-20,"2-YEAR U.S. TREASURY NOTES - CBoT","Smart money net position (% of OI)",-13
2010-07-20,"3-MONTH EURODOLLARS - CME","Smart money net position (% of OI)",-16.2
2010-07-20,"30-DAY FEDERAL FUNDS - CBoT","Smart money net position (% of OI)",-21.7
2010-07-20,"5-YEAR U.S. TREASURY NOTES - CBoT","Smart money net position (% of OI)",-13.7
2010-07-20,"AUSTRALIAN DOLLAR - CME","Smart money net position (% of OI)",-47
2010-07-20,"BRITISH POUND STERLING - CME","Smart money net position (% of OI)",28.8
2010-07-20,"CANADIAN DOLLAR - CME","Smart money net position (% of OI)",-46.8
2010-07-20,"DJIA Consolidated - CBoT","Smart money net position (% of OI)",22
2010-07-20,"DOW JONES INDUSTRIAL AVG- x $5 - CBoT","Smart money net position (% of OI)",22
2010-07-20,"E-MINI S&P 400 STOCK INDEX - CME","Smart money net position (% of OI)",-6.5
2010-07-20,"E-MINI S&P 500 STOCK INDEX - CME","Smart money net position (% of OI)",-11.9
2010-07-20,"EURO FX - CME","Smart money net position (% of OI)",20.7
2010-07-20,"JAPANESE YEN - CME","Smart money net position (% of OI)",-60.5
2010-07-20,"MEXICAN PESO - CME","Smart money net position (% of OI)",-69.2
2010-07-20,"NASDAQ-100 Consolidated - CME","Smart money net position (% of OI)",12.6
2010-07-20,"NASDAQ-100 STOCK INDEX (MINI) - CME","Smart money net position (% of OI)",18.2
2010-07-20,"NEW ZEALAND DOLLAR - CME","Smart money net position (% of OI)",-43.1
2010-07-20,"NIKKEI STOCK AVERAGE YEN DENOM - CME","Smart money net position (% of OI)",30.8
2010-07-20,"S&P 500 Consolidated - CME","Smart money net position (% of OI)",-16.5
2010-07-20,"SWISS FRANC - CME","Smart money net position (% of OI)",-48.1
2010-07-20,"U.S. DOLLAR INDEX - ICE","Smart money net position (% of OI)",-21.5
2010-07-20,"U.S. TREASURY BONDS - CBoT","Smart money net position (% of OI)",-19.9
2010-07-20,"VIX FUTURES - CBOE","Smart money net position (% of OI)",37.3
2010-07-20,"10-YEAR U.S. TREASURY NOTES - CBoT","Speculators net position (% of OI)",10.8
2010-07-20,"2-YEAR U.S. TREASURY NOTES - CBoT","Speculators net position (% of OI)",13.1
2010-07-20,"3-MONTH EURODOLLARS - CME","Speculators net position (% of OI)",16
2010-07-20,"30-DAY FEDERAL FUNDS - CBoT","Speculators net position (% of OI)",21.7
2010-07-20,"5-YEAR U.S. TREASURY NOTES - CBoT","Speculators net position (% of OI)",13.7
2010-07-20,"AUSTRALIAN DOLLAR - CME","Speculators net position (% of OI)",47
2010-07-20,"BRITISH POUND STERLING - CME","Speculators net position (% of OI)",-28.7
2010-07-20,"CANADIAN DOLLAR - CME","Speculators net position (% of OI)",46.8
2010-07-20,"DJIA Consolidated - CBoT","Speculators net position (% of OI)",-22
2010-07-20,"DOW JONES INDUSTRIAL AVG- x $5 - CBoT","Speculators net position (% of OI)",-22
2010-07-20,"E-MINI S&P 400 STOCK INDEX - CME","Speculators net position (% of OI)",6.4
2010-07-20,"E-MINI S&P 500 STOCK INDEX - CME","Speculators net position (% of OI)",11.8
2010-07-20,"EURO FX - CME","Speculators net position (% of OI)",-20.6
2010-07-20,"JAPANESE YEN - CME","Speculators net position (% of OI)",60.6
2010-07-20,"MEXICAN PESO - CME","Speculators net position (% of OI)",69.2
2010-07-20,"NASDAQ-100 Consolidated - CME","Speculators net position (% of OI)",-12.6
2010-07-20,"NASDAQ-100 STOCK INDEX (MINI) - CME","Speculators net position (% of OI)",-18.2
2010-07-20,"NEW ZEALAND DOLLAR - CME","Speculators net position (% of OI)",43.1
2010-07-20,"NIKKEI STOCK AVERAGE YEN DENOM - CME","Speculators net position (% of OI)",-30.8
2010-07-20,"S&P 500 Consolidated - CME","Speculators net position (% of OI)",16.7
2010-07-20,"SWISS FRANC - CME","Speculators net position (% of OI)",48.1
2010-07-20,"U.S. DOLLAR INDEX - ICE","Speculators net position (% of OI)",21.5
2010-07-20,"U.S. TREASURY BONDS - CBoT","Speculators net position (% of OI)",19.7
2010-07-20,"VIX FUTURES - CBOE","Speculators net position (% of OI)",-37.3
2010-07-27,"10-YEAR U.S. TREASURY NOTES - CBoT","Smart money net position (% of OI)",-12.3
2010-07-27,"2-YEAR U.S. TREASURY NOTES - CBoT","Smart money net position (% of OI)",-7.3
2010-07-27,"3-MONTH EURODOLLARS - CME","Smart money net position (% of OI)",-16.5
2010-07-27,"30-DAY FEDERAL FUNDS - CBoT","Smart money net position (% of OI)",-23.5
2010-07-27,"5-YEAR U.S. TREASURY NOTES - CBoT","Smart money net position (% of OI)",-13.3
2010-07-27,"AUSTRALIAN DOLLAR - CME","Smart money net position (% of OI)",-58.1
2010-07-27,"BRITISH POUND STERLING - CME","Smart money net position (% of OI)",19.3
2010-07-27,"CANADIAN DOLLAR - CME","Smart money net position (% of OI)",-55.7
2010-07-27,"DJIA Consolidated - CBoT","Smart money net position (% of OI)",17.2
2010-07-27,"DOW JONES INDUSTRIAL AVG- x $5 - CBoT","Smart money net position (% of OI)",17.2
2010-07-27,"E-MINI S&P 400 STOCK INDEX - CME","Smart money net position (% of OI)",-16.2
2010-07-27,"E-MINI S&P 500 STOCK INDEX - CME","Smart money net position (% of OI)",-12.4
2010-07-27,"EURO FX - CME","Smart money net position (% of OI)",17.2
2010-07-27,"JAPANESE YEN - CME","Smart money net position (% of OI)",-51.6
2010-07-27,"MEXICAN PESO - CME","Smart money net position (% of OI)",-69.8
2010-07-27,"NASDAQ-100 Consolidated - CME","Smart money net position (% of OI)",7.8
2010-07-27,"NASDAQ-100 STOCK INDEX (MINI) - CME","Smart money net position (% of OI)",14.1
2010-07-27,"NEW ZEALAND DOLLAR - CME","Smart money net position (% of OI)",-57.6
2010-07-27,"NIKKEI STOCK AVERAGE YEN DENOM - CME","Smart money net position (% of OI)",29.9
2010-07-27,"S&P 500 Consolidated - CME","Smart money net position (% of OI)",-18.1
2010-07-27,"SWISS FRANC - CME","Smart money net position (% of OI)",-38.7
2010-07-27,"U.S. DOLLAR INDEX - ICE","Smart money net position (% of OI)",-22.9
2010-07-27,"U.S. TREASURY BONDS - CBoT","Smart money net position (% of OI)",-18.6
2010-07-27,"VIX FUTURES - CBOE","Smart money net position (% of OI)",33.7
2010-07-27,"10-YEAR U.S. TREASURY NOTES - CBoT","Speculators net position (% of OI)",12.3
2010-07-27,"2-YEAR U.S. TREASURY NOTES - CBoT","Speculators net position (% of OI)",7.3
2010-07-27,"3-MONTH EURODOLLARS - CME","Speculators net position (% of OI)",16.5
2010-07-27,"30-DAY FEDERAL FUNDS - CBoT","Speculators net position (% of OI)",23.4
2010-07-27,"5-YEAR U.S. TREASURY NOTES - CBoT","Speculators net position (% of OI)",13.5
2010-07-27,"AUSTRALIAN DOLLAR - CME","Speculators net position (% of OI)",58
2010-07-27,"BRITISH POUND STERLING - CME","Speculators net position (% of OI)",-19.4
2010-07-27,"CANADIAN DOLLAR - CME","Speculators net position (% of OI)",55.8
2010-07-27,"DJIA Consolidated - CBoT","Speculators net position (% of OI)",-17.3
2010-07-27,"DOW JONES INDUSTRIAL AVG- x $5 - CBoT","Speculators net position (% of OI)",-17.3
2010-07-27,"E-MINI S&P 400 STOCK INDEX - CME","Speculators net position (% of OI)",16.1
2010-07-27,"E-MINI S&P 500 STOCK INDEX - CME","Speculators net position (% of OI)",12.4
2010-07-27,"EURO FX - CME","Speculators net position (% of OI)",-17.2
2010-07-27,"JAPANESE YEN - CME","Speculators net position (% of OI)",51.7
2010-07-27,"MEXICAN PESO - CME","Speculators net position (% of OI)",69.7
2010-07-27,"NASDAQ-100 Consolidated - CME","Speculators net position (% of OI)",-7.9
2010-07-27,"NASDAQ-100 STOCK INDEX (MINI) - CME","Speculators net position (% of OI)",-14.1
2010-07-27,"NEW ZEALAND DOLLAR - CME","Speculators net position (% of OI)",57.5
2010-07-27,"NIKKEI STOCK AVERAGE YEN DENOM - CME","Speculators net position (% of OI)",-29.8
2010-07-27,"S&P 500 Consolidated - CME","Speculators net position (% of OI)",18.2
2010-07-27,"SWISS FRANC - CME","Speculators net position (% of OI)",38.5
2010-07-27,"U.S. DOLLAR INDEX - ICE","Speculators net position (% of OI)",22.9
2010-07-27,"U.S. TREASURY BONDS - CBoT","Speculators net position (% of OI)",18.6
2010-07-27,"VIX FUTURES - CBOE","Speculators net position (% of OI)",-33.7
2010-08-03,"10-YEAR U.S. TREASURY NOTES - CBoT","Smart money net position (% of OI)",-14.4
2010-08-03,"2-YEAR U.S. TREASURY NOTES - CBoT","Smart money net position (% of OI)",-6.9
2010-08-03,"3-MONTH EURODOLLARS - CME","Smart money net position (% of OI)",-15.7
2010-08-03,"30-DAY FEDERAL FUNDS - CBoT","Smart money net position (% of OI)",-23.3
2010-08-03,"5-YEAR U.S. TREASURY NOTES - CBoT","Smart money net position (% of OI)",-16.5
2010-08-03,"AUSTRALIAN DOLLAR - CME","Smart money net position (% of OI)",-57.5
2010-08-03,"BRITISH POUND STERLING - CME","Smart money net position (% of OI)",0.599999999999994
2010-08-03,"CANADIAN DOLLAR - CME","Smart money net position (% of OI)",-57.8
2010-08-03,"DJIA Consolidated - CBoT","Smart money net position (% of OI)",7.1
2010-08-03,"DOW JONES INDUSTRIAL AVG- x $5 - CBoT","Smart money net position (% of OI)",7.1
2010-08-03,"E-MINI S&P 400 STOCK INDEX - CME","Smart money net position (% of OI)",-14.4
2010-08-03,"E-MINI S&P 500 STOCK INDEX - CME","Smart money net position (% of OI)",-13.1
2010-08-03,"EURO FX - CME","Smart money net position (% of OI)",11.4
2010-08-03,"JAPANESE YEN - CME","Smart money net position (% of OI)",-58.3
2010-08-03,"MEXICAN PESO - CME","Smart money net position (% of OI)",-74.7
2010-08-03,"NASDAQ-100 Consolidated - CME","Smart money net position (% of OI)",0.599999999999998
2010-08-03,"NASDAQ-100 STOCK INDEX (MINI) - CME","Smart money net position (% of OI)",6.1
2010-08-03,"NEW ZEALAND DOLLAR - CME","Smart money net position (% of OI)",-59.5
2010-08-03,"NIKKEI STOCK AVERAGE YEN DENOM - CME","Smart money net position (% of OI)",30.7
2010-08-03,"S&P 500 Consolidated - CME","Smart money net position (% of OI)",-19.2
2010-08-03,"SWISS FRANC - CME","Smart money net position (% of OI)",-53.8
2010-08-03,"U.S. DOLLAR INDEX - ICE","Smart money net position (% of OI)",-24.3
2010-08-03,"U.S. TREASURY BONDS - CBoT","Smart money net position (% of OI)",-21.1
2010-08-03,"VIX FUTURES - CBOE","Smart money net position (% of OI)",34
2010-08-03,"10-YEAR U.S. TREASURY NOTES - CBoT","Speculators net position (% of OI)",14.5
2010-08-03,"2-YEAR U.S. TREASURY NOTES - CBoT","Speculators net position (% of OI)",6.79999999999999
2010-08-03,"3-MONTH EURODOLLARS - CME","Speculators net position (% of OI)",15.7
2010-08-03,"30-DAY FEDERAL FUNDS - CBoT","Speculators net position (% of OI)",23.3
2010-08-03,"5-YEAR U.S. TREASURY NOTES - CBoT","Speculators net position (% of OI)",16.5
2010-08-03,"AUSTRALIAN DOLLAR - CME","Speculators net position (% of OI)",57.5
2010-08-03,"BRITISH POUND STERLING - CME","Speculators net position (% of OI)",-0.599999999999999
2010-08-03,"CANADIAN DOLLAR - CME","Speculators net position (% of OI)",57.7
2010-08-03,"DJIA Consolidated - CBoT","Speculators net position (% of OI)",-7.2
2010-08-03,"DOW JONES INDUSTRIAL AVG- x $5 - CBoT","Speculators net position (% of OI)",-7.2
2010-08-03,"E-MINI S&P 400 STOCK INDEX - CME","Speculators net position (% of OI)",14.3
2010-08-03,"E-MINI S&P 500 STOCK INDEX - CME","Speculators net position (% of OI)",13.2
2010-08-03,"EURO FX - CME","Speculators net position (% of OI)",-11.3
2010-08-03,"JAPANESE YEN - CME","Speculators net position (% of OI)",58.2
2010-08-03,"MEXICAN PESO - CME","Speculators net position (% of OI)",74.6
2010-08-03,"NASDAQ-100 Consolidated - CME","Speculators net position (% of OI)",-0.7
2010-08-03,"NASDAQ-100 STOCK INDEX (MINI) - CME","Speculators net position (% of OI)",-6.1
2010-08-03,"NEW ZEALAND DOLLAR - CME","Speculators net position (% of OI)",59.6
2010-08-03,"NIKKEI STOCK AVERAGE YEN DENOM - CME","Speculators net position (% of OI)",-30.7
2010-08-03,"S&P 500 Consolidated - CME","Speculators net position (% of OI)",19.2
2010-08-03,"SWISS FRANC - CME","Speculators net position (% of OI)",53.7
2010-08-03,"U.S. DOLLAR INDEX - ICE","Speculators net position (% of OI)",24.2
2010-08-03,"U.S. TREASURY BONDS - CBoT","Speculators net position (% of OI)",21.1
2010-08-03,"VIX FUTURES - CBOE","Speculators net position (% of OI)",-34
2010-08-10,"10-YEAR U.S. TREASURY NOTES - CBoT","Smart money net position (% of OI)",-13.5
2010-08-10,"2-YEAR U.S. TREASURY NOTES - CBoT","Smart money net position (% of OI)",-6.4
2010-08-10,"3-MONTH EURODOLLARS - CME","Smart money net position (% of OI)",-17.1
2010-08-10,"30-DAY FEDERAL FUNDS - CBoT","Smart money net position (% of OI)",-21.1
2010-08-10,"5-YEAR U.S. TREASURY NOTES - CBoT","Smart money net position (% of OI)",-11.3
2010-08-10,"AUSTRALIAN DOLLAR - CME","Smart money net position (% of OI)",-60.8
2010-08-10,"BRITISH POUND STERLING - CME","Smart money net position (% of OI)",-4.7
2010-08-10,"CANADIAN DOLLAR - CME","Smart money net position (% of OI)",-63.2
2010-08-10,"DJIA Consolidated - CBoT","Smart money net position (% of OI)",7.5
2010-08-10,"DOW JONES INDUSTRIAL AVG- x $5 - CBoT","Smart money net position (% of OI)",7.5
2010-08-10,"E-MINI S&P 400 STOCK INDEX - CME","Smart money net position (% of OI)",-14.7
2010-08-10,"E-MINI S&P 500 STOCK INDEX - CME","Smart money net position (% of OI)",-14
2010-08-10,"EURO FX - CME","Smart money net position (% of OI)",6.3
2010-08-10,"JAPANESE YEN - CME","Smart money net position (% of OI)",-57.5
2010-08-10,"MEXICAN PESO - CME","Smart money net position (% of OI)",-76.4
2010-08-10,"NASDAQ-100 Consolidated - CME","Smart money net position (% of OI)",-0.199999999999999
2010-08-10,"NASDAQ-100 STOCK INDEX (MINI) - CME","Smart money net position (% of OI)",4.9
2010-08-10,"NEW ZEALAND DOLLAR - CME","Smart money net position (% of OI)",-53.4
2010-08-10,"NIKKEI STOCK AVERAGE YEN DENOM - CME","Smart money net position (% of OI)",34.2
2010-08-10,"S&P 500 Consolidated - CME","Smart money net position (% of OI)",-19.7
2010-08-10,"SWISS FRANC - CME","Smart money net position (% of OI)",-34.5
2010-08-10,"U.S. DOLLAR INDEX - ICE","Smart money net position (% of OI)",-19.9
2010-08-10,"U.S. TREASURY BONDS - CBoT","Smart money net position (% of OI)",-20.1
2010-08-10,"VIX FUTURES - CBOE","Smart money net position (% of OI)",34.8
2010-08-10,"10-YEAR U.S. TREASURY NOTES - CBoT","Speculators net position (% of OI)",13.4
2010-08-10,"2-YEAR U.S. TREASURY NOTES - CBoT","Speculators net position (% of OI)",6.4
2010-08-10,"3-MONTH EURODOLLARS - CME","Speculators net position (% of OI)",17.1
2010-08-10,"30-DAY FEDERAL FUNDS - CBoT","Speculators net position (% of OI)",21
2010-08-10,"5-YEAR U.S. TREASURY NOTES - CBoT","Speculators net position (% of OI)",11.5
2010-08-10,"AUSTRALIAN DOLLAR - CME","Speculators net position (% of OI)",60.9
